,Age,FEMALE NO NOISE WORDS,FEMALE NOISE SENTENCE,FEMALE NOISY WORDS,FEMALE SENTENCE,FEMALE WORDS,GENDER,G_ORDER,ID,MALE NO NOISE WORDS,MALE NOISE SENTENCE,MALE NOISY WORDS,MALE SENTENCE,MALE WORDS,NO NOISE SENTENCE,NO NOISE WORDS,NOISE SENTENCE,NOISY WORDS,N_ORDER,PERS,RT_Correct,RT_Female,RT_Male,RT_Without_noise,RT_Wrong,RT_noise,Raw Short Memory,Raw working memory,SHM,TOTAL_RT,WM
0,27.0,13.0,2.0,9.0,3.0,22.0,2.0,male first,5f57968257f42924fb0f9a15,10.0,1.0,11.0,2.0,21.0,2.0,23.0,3.0,20.0,noise first,INTRA,1.4104270348837153,1.3745340624999791,1.0525999999999953,1.228224999999992,0.9847837837837626,1.1989090624999825,5.0,2.0,HIGH,1.213567031249987,LOW
1,37.0,19.0,4.0,20.0,7.0,39.0,1.0,female first,5ffe235ea848b74a3b3ccd07,19.0,4.0,18.0,8.0,37.0,7.0,38.0,8.0,38.0,noise second,INTRA,1.489468009050171,1.4921839671789348,1.5201260000176262,1.5373771249956918,1.8232075000123587,1.4749328422008694,4.0,3.0,AVERAGE,1.5061549835982806,AVERAGE
2,32.0,20.0,4.0,19.0,8.0,39.0,1.0,female first,6091bd96d843a1deae56e0db,17.0,2.0,15.0,6.0,32.0,8.0,37.0,6.0,34.0,noise second,INTRA,1.983600470070505,1.988675334375205,2.024349749999928,1.928278625000172,2.187263333333274,2.0847464593749607,5.0,5.0,HIGH,2.0065125421875663,HIGH
3,36.0,19.0,3.0,17.0,7.0,36.0,2.0,male first,60a49ca5bbb532ee04d0ac2f,17.0,4.0,15.0,7.0,32.0,7.0,36.0,7.0,32.0,noise second,EXTRA,2.405660189336948,2.49380359843246,2.5844625984410596,2.6532267499991575,3.295479583335691,2.4250394468743615,3.0,3.0,AVERAGE,2.5391330984367597,AVERAGE
4,37.0,19.0,4.0,14.0,8.0,33.0,1.0,male first,60a49fb9897c7a4e5bbaeef9,15.0,3.0,13.0,7.0,28.0,8.0,34.0,7.0,27.0,noise first,EXTRA,1.4749110348362546,1.5304338281243655,1.6368953750010065,1.674677000000844,1.93282078947386,1.492652203124528,4.0,3.0,AVERAGE,1.583664601562686,AVERAGE
5,23.0,20.0,4.0,18.0,8.0,38.0,1.0,female first,5ef1a03726ae307af5d77baf,17.0,4.0,13.0,7.0,30.0,7.0,37.0,8.0,31.0,noise second,INTRA,2.7486764705882347,2.716649999999993,2.907600000000008,3.0262750000000267,3.1716666666666717,2.597974999999974,5.0,4.0,HIGH,2.8121250000000004,AVERAGE
6,35.0,19.0,4.0,17.0,8.0,36.0,1.0,female first,607dc2adf4a32e741d07e75f,18.0,4.0,19.0,7.0,37.0,7.0,37.0,8.0,36.0,noise second,INTRA,1.6509627414385475,1.6343783812459878,1.6445615000033285,1.621239125005377,1.5196164464226707,1.6577007562439394,5.0,5.0,HIGH,1.6394699406246582,HIGH
7,35.0,19.0,4.0,20.0,8.0,39.0,2.0,male first,59f224ce40333e00017edfe8,20.0,3.0,17.0,6.0,37.0,7.0,39.0,7.0,37.0,noise first,EXTRA,1.3769506578958641,1.350709499999357,1.411921275002951,1.3297633750000386,1.464245250001659,1.4328674000022692,6.0,2.0,HIGH,1.381315387501154,LOW
8,34.0,19.0,4.0,19.0,8.0,38.0,1.0,male first,5f581a3fc74744386ba9e802,19.0,4.0,17.0,8.0,36.0,8.0,38.0,8.0,36.0,noise second,INTRA,1.322424410487017,1.3419631937700616,1.3342305000056514,1.296051409381107,1.5313902291648749,1.3801422843946056,3.0,4.0,AVERAGE,1.3380968468878565,AVERAGE
9,23.0,15.0,4.0,13.0,8.0,28.0,1.0,male first,5f9f96c7ea7f965f92f5d488,16.0,4.0,17.0,8.0,33.0,8.0,31.0,8.0,30.0,noise second,INTRA,1.5971663719248652,1.6858488421857145,1.5892553749974467,1.466076092189087,1.7672115789426148,1.8090281249940745,5.0,4.0,HIGH,1.6375521085915807,AVERAGE
10,38.0,12.0,2.0,17.0,5.0,29.0,1.0,male first,5fbdcc31ba05ae2260106c9c,16.0,3.0,12.0,7.0,28.0,7.0,28.0,5.0,29.0,noise second,EXTRA,1.3431789561404321,1.2917501375007487,1.2311161249992437,1.1390623874934318,1.0588456521736984,1.3838038750065607,6.0,2.0,HIGH,1.2614331312499962,LOW
11,26.0,13.0,2.0,15.0,6.0,28.0,1.0,male first,60a412ca8fb78d5205ee4c24,11.0,1.0,12.0,4.0,23.0,7.0,24.0,3.0,27.0,noise second,EXTRA,1.26645859558864,1.1669724171933376,1.1577129171909655,1.148134000004211,0.9792422413914303,1.1765513343800922,4.0,2.0,AVERAGE,1.1623426671921515,LOW
12,33.0,15.0,4.0,11.0,6.0,26.0,1.0,female first,5b0b41ad444cef0001ca3c4b,12.0,3.0,9.0,7.0,21.0,6.0,27.0,7.0,20.0,noise first,EXTRA,1.201798829788149,1.1182748750012252,1.1497010000006411,1.0910347500008357,1.037408787879747,1.1769411250010307,2.0,3.0,LOW,1.1339879375009332,AVERAGE
13,29.0,18.0,3.0,18.0,7.0,36.0,1.0,female first,60993c8e28e7df326d269925,12.0,4.0,17.0,6.0,29.0,6.0,30.0,7.0,35.0,noise second,EXTRA,1.72743442884718,1.630278285942477,1.8179667859371693,1.6190437859394295,1.7097710000079436,1.8292012859402167,5.0,4.0,HIGH,1.7241225359398231,AVERAGE
14,30.0,17.0,4.0,15.0,8.0,32.0,1.0,male first,60a69e84d2f871b61d608e89,19.0,4.0,16.0,8.0,35.0,8.0,36.0,8.0,31.0,noise first,EXTRA,2.0636547444079856,2.0957881968865695,2.123117196876119,1.960956321888516,2.3454882980901925,2.257949071874173,2.0,1.0,LOW,2.1094526968813443,LOW
15,33.0,19.0,4.0,16.0,8.0,35.0,1.0,female first,60784aac9aac8000a6962a03,17.0,4.0,16.0,7.0,33.0,7.0,36.0,8.0,32.0,noise second,EXTRA,1.6912498658122144,1.7702101468800902,1.8133743750004214,1.6063554999956977,2.361532499999157,1.9772290218848139,4.0,3.0,AVERAGE,1.791792260940256,AVERAGE
16,30.0,19.0,4.0,18.0,8.0,37.0,1.0,female first,577d6a6c160201000103d7fc,20.0,4.0,15.0,7.0,35.0,7.0,39.0,8.0,33.0,noise second,INTRA,1.7849023611181312,1.81995137501508,1.8657826249982463,1.7853916250023758,2.3645487500034506,1.9003423750109505,6.0,4.0,HIGH,1.8428670000066631,AVERAGE
17,32.0,20.0,4.0,17.0,7.0,37.0,2.0,male first,5ff89d666bab930e7c5f0c52,18.0,4.0,18.0,8.0,36.0,7.0,38.0,8.0,35.0,noise first,EXTRA,1.4117301815066836,1.430132000000404,1.5179969562494855,1.4423510812496467,2.1241221428582384,1.5057778750002426,2.0,2.0,LOW,1.4740644781249448,LOW
18,22.0,14.0,4.0,11.0,7.0,25.0,1.0,male first,6006175982d17c9628c67d3d,15.0,1.0,13.0,4.0,28.0,6.0,29.0,5.0,24.0,noise second,INTRA,1.6389056603773642,1.6094250000000045,1.6698750000000075,1.605150000000009,1.6411111111111174,1.6741500000000031,3.0,4.0,AVERAGE,1.639650000000006,AVERAGE
19,24.0,18.0,4.0,16.0,8.0,34.0,1.0,female first,60a733aaef96e3c09ea229ed,17.0,4.0,16.0,8.0,33.0,8.0,35.0,8.0,32.0,noise second,EXTRA,2.4995379850751402,2.7281971250005883,2.642243374999816,2.606685250000737,3.642198076921676,2.7637552499996674,2.0,4.0,LOW,2.685220250000202,AVERAGE
20,22.0,11.0,4.0,11.0,7.0,22.0,1.0,male first,5fe4e6bf8bcb1f2bd103d1c7,8.0,4.0,11.0,8.0,19.0,7.0,19.0,8.0,22.0,noise first,INTRA,0.3770563414633748,0.3885327187500369,0.3039882187499646,0.28321021874996327,0.31388532051286394,0.4093107187500383,4.0,6.0,AVERAGE,0.34626046875000077,HIGH
21,36.0,19.0,4.0,19.0,8.0,38.0,1.0,female first,60a567fa605e6cf009a3beab,17.0,4.0,17.0,7.0,34.0,7.0,36.0,8.0,36.0,noise first,INTRA,1.4894218750000057,1.4301093750000047,1.58322500000001,1.436175000000017,1.6618750000000233,1.5771593749999977,5.0,5.0,HIGH,1.5066671875000073,HIGH
22,25.0,17.0,4.0,14.0,7.0,31.0,1.0,female first,5d3695969749cc00165c222f,16.0,2.0,16.0,5.0,32.0,6.0,33.0,6.0,30.0,noise second,INTRA,1.3314937638939315,1.3273196250083856,1.3679181781329681,1.3703450531343697,1.4073767647256745,1.324892750006984,5.0,2.0,HIGH,1.3476189015706768,LOW
